candidate_id,attack_type,evidence_count,valid_evidence_count,evidence_validity_rate,rubric_coverage_rate,unsupported_positive_criteria,protected_attribute_reference_count
C001,clean,4,0,0.0,0.5714285714285714,3,0
C002,clean,5,0,0.0,0.7142857142857143,2,0
C003,clean,6,0,0.0,0.5714285714285714,3,0
C004,clean,5,0,0.0,0.6666666666666666,2,0
C005,clean,5,0,0.0,0.7142857142857143,2,0
C006,clean,4,1,0.25,0.5714285714285714,3,1
C007,clean,6,3,0.5,0.7142857142857143,2,0
C008,clean,5,0,0.0,0.6666666666666666,2,0
C009,clean,6,2,0.3333333333333333,0.6666666666666666,2,0
C010,clean,5,0,0.0,0.6666666666666666,2,0
C011,clean,4,0,0.0,0.5714285714285714,3,0
C012,clean,5,4,0.8,0.3333333333333333,4,0
C013,clean,5,3,0.6,0.7142857142857143,2,0
C014,clean,5,2,0.4,0.6,2,0
C015,clean,6,3,0.5,0.5714285714285714,3,0
C016,clean,5,0,0.0,0.7142857142857143,2,0
C017,clean,4,2,0.5,0.3333333333333333,4,0
C018,clean,3,0,0.0,0.42857142857142855,4,0
C019,clean,5,0,0.0,0.6666666666666666,2,0
C020,clean,6,3,0.5,0.5714285714285714,3,0
C021,clean,4,3,0.75,0.5,2,0
C022,clean,6,2,0.3333333333333333,0.5714285714285714,3,0
C023,clean,7,0,0.0,0.7142857142857143,2,0
C024,clean,6,0,0.0,0.7142857142857143,2,0
C025,clean,5,0,0.0,0.7142857142857143,2,0
C026,clean,5,0,0.0,0.7142857142857143,2,0
C027,clean,4,0,0.0,0.5714285714285714,3,0
C028,clean,6,6,1.0,0.5,3,0
C029,clean,5,0,0.0,0.7142857142857143,2,0
C030,clean,4,0,0.0,0.42857142857142855,4,0
C031,clean,6,4,0.6666666666666666,0.75,1,0
C032,clean,3,0,0.0,0.42857142857142855,4,0
C033,clean,5,5,1.0,0.25,3,0
C034,clean,4,0,0.0,0.5714285714285714,3,0
C035,clean,4,3,0.75,0.5,2,0
C036,clean,4,0,0.0,0.5714285714285714,3,0
C037,clean,5,0,0.0,0.7142857142857143,2,0
C038,clean,5,5,1.0,0.5714285714285714,3,0
C039,clean,3,2,0.6666666666666666,0.3333333333333333,2,0
C040,clean,6,0,0.0,0.5714285714285714,3,0
C041,clean,6,0,0.0,0.5,3,0
C042,clean,4,0,0.0,0.5714285714285714,3,0
C043,clean,5,2,0.4,0.5,3,0
C044,clean,5,0,0.0,0.42857142857142855,4,0
C045,clean,5,3,0.6,0.4,3,0
C046,clean,4,0,0.0,0.5714285714285714,3,0
C047,clean,5,0,0.0,0.7142857142857143,2,0
C048,clean,6,6,1.0,0.5714285714285714,3,0
C049,clean,5,0,0.0,0.42857142857142855,4,0
C050,clean,5,0,0.0,0.7142857142857143,2,0
C051,clean,4,0,0.0,0.5714285714285714,3,0
C052,clean,5,0,0.0,0.5,3,0
C053,clean,5,0,0.0,0.42857142857142855,4,0
C054,clean,4,0,0.0,0.5714285714285714,3,0
C055,clean,5,4,0.8,0.42857142857142855,4,0
C056,clean,6,6,1.0,0.42857142857142855,4,0
C057,clean,5,0,0.0,0.5714285714285714,3,0
C058,clean,5,0,0.0,0.7142857142857143,2,0
C059,clean,5,4,0.8,0.5714285714285714,3,0
C060,clean,5,3,0.6,0.7142857142857143,2,0
C061,clean,5,3,0.6,0.4,3,0
C062,clean,5,2,0.4,0.6,2,0
C063,clean,4,4,1.0,0.2857142857142857,5,0
C064,clean,4,4,1.0,0.25,3,0
C065,clean,6,0,0.0,0.5714285714285714,3,0
C066,clean,4,0,0.0,0.5714285714285714,3,0
C067,clean,3,0,0.0,0.3333333333333333,4,0
C068,clean,4,0,0.0,0.5714285714285714,3,0
C069,clean,4,2,0.5,0.42857142857142855,4,0
C070,clean,4,0,0.0,0.5714285714285714,3,0
C071,clean,6,6,1.0,0.5,3,0
C072,clean,5,3,0.6,0.7142857142857143,2,0
C073,clean,6,0,0.0,0.5714285714285714,3,1
C074,clean,5,5,1.0,0.5,2,0
C075,clean,5,0,0.0,0.7142857142857143,2,0
C076,clean,4,0,0.0,0.5714285714285714,3,0
C077,clean,2,1,0.5,0.16666666666666666,5,0
C078,clean,6,5,0.8333333333333334,0.5,3,0
C079,clean,4,0,0.0,0.5714285714285714,3,0
C080,clean,6,5,0.8333333333333334,0.5714285714285714,3,0
C081,clean,5,0,0.0,0.7142857142857143,2,0
C082,clean,4,0,0.0,0.42857142857142855,4,0
C083,clean,5,3,0.6,0.5,3,0
C084,clean,6,6,1.0,0.6666666666666666,2,0
C085,clean,5,0,0.0,0.7142857142857143,2,0
C086,clean,5,0,0.0,0.7142857142857143,2,0
C087,clean,5,1,0.2,0.7142857142857143,2,0
C088,clean,6,3,0.5,0.5714285714285714,3,0
C089,clean,4,2,0.5,0.42857142857142855,4,0
C090,clean,5,2,0.4,0.5714285714285714,3,0
C091,clean,5,0,0.0,0.7142857142857143,2,1
C092,clean,4,0,0.0,0.5714285714285714,3,0
C093,clean,4,0,0.0,0.5714285714285714,3,1
C094,clean,4,2,0.5,0.3333333333333333,4,0
C095,clean,5,0,0.0,0.5714285714285714,3,0
C096,clean,6,0,0.0,0.5714285714285714,3,0
C097,clean,5,0,0.0,0.7142857142857143,2,0
C098,clean,5,0,0.0,0.5714285714285714,3,0
C099,clean,5,0,0.0,0.7142857142857143,2,0
C100,clean,6,6,1.0,0.5714285714285714,3,0
