attribute,mean_score_gap,ci_95_low,ci_95_high,n_pairs,pipeline,input_variant
age_group,0.0,0.0,0.0,10,baseline,masked
ethnicity,0.0,0.0,0.0,10,baseline,masked
gender,0.0,0.0,0.0,10,baseline,masked
marital_status,0.0,0.0,0.0,10,baseline,masked
religion,0.0,0.0,0.0,10,baseline,masked
age_group,7.5,0.0,22.5,10,baseline,raw
ethnicity,0.0,0.0,0.0,10,baseline,raw
gender,2.0,0.0,6.0,10,baseline,raw
marital_status,2.0,0.0,6.0,10,baseline,raw
religion,0.0,0.0,0.0,10,baseline,raw
age_group,0.0,0.0,0.0,10,defended,masked
ethnicity,0.0,0.0,0.0,10,defended,masked
gender,0.0,0.0,0.0,10,defended,masked
marital_status,0.0,0.0,0.0,10,defended,masked
religion,0.0,0.0,0.0,10,defended,masked
age_group,1.4,0.4,2.4,10,defended,raw
ethnicity,1.0,0.0,2.4,10,defended,raw
gender,1.3,0.0,3.2,10,defended,raw
marital_status,0.6,0.0,1.8,10,defended,raw
religion,1.1,0.0,2.5024999999999977,10,defended,raw
