attribute,demographic_parity_difference,demographic_parity_ratio,pipeline,input_variant
age_group,0.09999999999999998,0.8333333333333334,baseline,raw
ethnicity,0.0,1.0,baseline,raw
gender,0.09999999999999998,0.8,baseline,raw
marital_status,0.09999999999999998,0.8333333333333334,baseline,raw
religion,0.0,1.0,baseline,raw
age_group,0.0,1.0,baseline,masked
ethnicity,0.0,1.0,baseline,masked
gender,0.0,1.0,baseline,masked
marital_status,0.0,1.0,baseline,masked
religion,0.0,1.0,baseline,masked
age_group,0.09999999999999998,0.8,defended,raw
ethnicity,0.0,1.0,defended,raw
gender,0.09999999999999998,0.6666666666666667,defended,raw
marital_status,0.0,1.0,defended,raw
religion,0.0,1.0,defended,raw
age_group,0.0,1.0,defended,masked
ethnicity,0.0,1.0,defended,masked
gender,0.0,1.0,defended,masked
marital_status,0.0,1.0,defended,masked
religion,0.0,1.0,defended,masked
