repeatability_group_id,n_runs,mean_score,score_std,score_range,exact_score_agreement,risk_score_agreement,pipeline
C002,3,85.0,0.0,0.0,True,True,baseline
C011,3,85.0,0.0,0.0,True,True,baseline
C016,3,85.0,0.0,0.0,True,True,baseline
C021,3,25.0,0.0,0.0,True,True,baseline
C042,3,25.0,0.0,0.0,True,True,baseline
C047,3,85.0,0.0,0.0,True,True,baseline
C052,3,25.0,0.0,0.0,True,True,baseline
C074,3,25.0,0.0,0.0,True,True,baseline
C088,3,25.0,0.0,0.0,True,True,baseline
C097,3,25.0,0.0,0.0,True,True,baseline
C002,3,55.0,0.0,0.0,True,True,defended
C011,3,61.0,0.0,0.0,True,True,defended
C016,3,64.0,0.0,0.0,True,True,defended
C021,3,20.0,0.0,0.0,True,True,defended
C042,3,48.0,0.0,0.0,True,True,defended
C047,3,67.0,0.0,0.0,True,True,defended
C052,3,27.0,0.0,0.0,True,True,defended
C074,3,26.0,0.0,0.0,True,True,defended
C088,3,53.0,0.0,0.0,True,True,defended
C097,3,53.0,0.0,0.0,True,True,defended
